comp,countgames,totalviewers,avgviewers,overallgroup,continent,country,clubcountry,womens,friendly
DFL-Supercup,2,914000,457000,europeanclub,europe,germany,club,NA,NA
UEFA Europa League,23,902000,39217.3913043478,europeanclub,europe,intl,club,NA,NA
Europa League,17,900000,52941.1764705882,europeanclub,europe,intl,club,NA,NA
Spanish Supercopa,2,885000,442500,europeanclub,europe,spain,club,NA,NA
UEFA CL Semi Finals,2,859000,429500,europeanclub,europe,intl,club,NA,NA
CCL Semi-Final,4,830000,207500,NA,namerica,intl,club,NA,NA
MLS All-Star,1,808000,808000,mls,namerica,usa,club,NA,NA
Ligue 1,20,778042,38902.1,europeanclub,europe,france,club,NA,NA
UEL Quarter-Final,6,721000,120166.666666667,europeanclub,europe,intl,club,NA,NA
UEL Group Stage,19,717000,37736.8421052632,europeanclub,europe,intl,club,NA,NA
Champion League,3,705000,235000,europeanclub,europe,intl,club,NA,NA
NA U20 Championship,5,685000,137000,NA,other,other,other,NA,NA
UEL Final,1,684000,684000,europeanclub,europe,intl,club,NA,NA
Copa MX Final,1,672000,672000,ligamx,namerica,mexico,club,NA,NA
Europa League RO16,12,641000,53416.6666666667,europeanclub,europe,intl,club,NA,NA
U20 World Cup,2,615000,307500,NA,world,intl,country,NA,NA
MLS Eastern Championship,2,600000,300000,mls,namerica,usa,club,NA,NA
UEL,9,596000,66222.2222222222,europeanclub,europe,intl,club,NA,NA
MLS Western Championship,2,590000,295000,mls,namerica,usa,club,NA,NA
U20 World Cup (W),20,566000,28300,otherwomens,other,other,other,x,NA
UEL Semi-Final,4,550000,137500,europeanclub,europe,intl,club,NA,NA
CCL RO8,3,548000,182666.666666667,NA,namerica,intl,club,NA,NA
Copa Libertadores,3,540000,180000,NA,samerica,intl,club,NA,NA
La LIga,2,533000,266500,europeanclub,europe,spain,club,NA,NA
UEFA EL Final,2,513000,256500,europeanclub,europe,intl,club,NA,NA
Primeira Liga,17,477000,28058.8235294118,europeanclub,europe,portugal,club,NA,NA
UEFA EL Quarter Finals,4,473000,118250,europeanclub,europe,intl,club,NA,NA
Manchester City Cup,11,467000,42454.5454545455,NA,other,other,other,NA,NA
UEFA Euro (W),12,453000,37750,otherwomens,europe,intl,club,x,NA
CNCAF U20 Champ.,4,442000,110500,NA,namerica,intl,country,NA,NA
CONCACAF CL Final,1,437000,437000,NA,namerica,intl,club,NA,NA
UEFA Euro Qual.,3,434000,144666.666666667,NA,europe,intl,country,NA,NA
CONCACAF U20 Champ,6,428000,71333.3333333333,NA,namerica,intl,country,NA,NA
Friendly (W),2,425000,212500,otherwomens,other,other,other,NA,NA
Campeón de Campeones,1,419000,419000,ligamx,namerica,intl,club,NA,NA
